id,bp_loc_id,count_id,description,temperature,sky,count_type,town,from_st_name,from_st_dir,to_st_name,to_st_dir,count_date,count_dow,cnt_0630,cnt_0645,cnt_0700,cnt_0715,cnt_0730,cnt_0745,cnt_0800,cnt_0815,cnt_0830,cnt_0845,cnt_0900,cnt_0915,cnt_0930,cnt_0945,cnt_1000,cnt_1015,cnt_1030,cnt_1045,cnt_1100,cnt_1115,cnt_1130,cnt_1145,cnt_1200,cnt_1215,cnt_1230,cnt_1245,cnt_1300,cnt_1315,cnt_1330,cnt_1345,cnt_1400,cnt_1415,cnt_1430,cnt_1445,cnt_1500,cnt_1515,cnt_1530,cnt_1545,cnt_1600,cnt_1615,cnt_1630,cnt_1645,cnt_1700,cnt_1715,cnt_1730,cnt_1745,cnt_1800,cnt_1815,cnt_1830,cnt_1845,cnt_1900,cnt_1915,cnt_1930,cnt_1945,cnt_2000,cnt_2015,cnt_2030,cnt_2045,cnt_total
9678,20247,20327,extracted from hourly automated vehicle counts,,-99,B,Boston,Center Street,EB,Center Street,EB,9/27/2016 0:00,Tue,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,1,2,2,2,2,1,1,1,1,3,3,3,4,4,4,5,5,8,8,9,9,7,7,7,7,6,6,6,7,1,2,2,2,150
9679,20247,20327,extracted from hourly automated vehicle counts,,-99,B,Boston,Center Street,EB,Center Street,EB,9/27/2016 0:00,Tue,1,2,0,0,1,1,7,7,7,7,7,7,7,7,2,2,2,2,1,1,1,2,2,2,2,3,1,2,2,2,1,1,1,1,1,1,2,2,0,1,1,1,3,3,4,4,2,2,2,3,1,1,2,2,0,1,1,1,135
9680,20248,20328,extracted from hourly automated vehicle counts,,-99,B,Boston,Washington Street,EB,Washington Street,EB,9/27/2016 0:00,Tue,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,25
9681,20248,20328,extracted from hourly automated vehicle counts,,-99,B,Boston,Washington Street,EB,Washington Street,EB,9/27/2016 0:00,Tue,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,1,1,1,2,0,1,1,1,31
9682,20249,20329,extracted from hourly automated vehicle counts,,-99,B,Boston,Brighton Avenue,EB,Brighton Avenue,EB,9/27/2016 0:00,Tue,0,1,1,1,1,2,0,1,1,1,1,1,1,2,2,2,3,3,1,1,1,1,4,5,5,5,4,4,4,4,6,6,6,7,7,7,7,8,13,13,14,14,19,19,20,20,15,16,16,16,8,8,8,9,15,16,16,16,408
9683,20249,20329,extracted from hourly automated vehicle counts,,-99,B,Boston,Brighton Avenue,EB,Brighton Avenue,EB,9/27/2016 0:00,Tue,5,5,7,7,8,8,11,11,11,11,15,15,16,16,11,12,12,12,7,7,7,7,6,7,7,7,7,7,7,7,5,5,5,6,7,8,8,8,3,3,4,4,7,7,7,8,2,3,3,3,2,2,3,3,2,2,2,3,401
9684,20209,20330,extracted from hourly automated vehicle counts,,-99,B,Boston,Centre Street,EB,Centre Street,EB,9/27/2016 0:00,Tue,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,1,2,2,2,4,5,5,5,3,3,3,4,7,7,7,7,6,6,6,7,6,7,7,7,5,5,5,5,180
9685,20209,20330,extracted from hourly automated vehicle counts,,-99,B,Boston,Centre Street,EB,Centre Street,EB,9/27/2016 0:00,Tue,1,1,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,2,2,2,3,2,2,2,3,2,3,3,3,0,1,1,1,2,3,3,3,3,3,3,3,5,5,5,5,2,3,3,3,3,4,4,4,2,2,3,3,153
9686,20250,20331,extracted from hourly automated vehicle counts,,-99,B,Boston,Longwood Avenue,EB,Longwood Avenue,EB,9/27/2016 0:00,Tue,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
9687,20250,20332,extracted from hourly automated vehicle counts,,-99,B,Boston,Longwood Avenue,EB,Longwood Avenue,EB,9/27/2016 0:00,Tue,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,22
